TICKER
RELIANCE.NS
TCS.NS
INFY.NS
HDFCBANK.NS
BAJFINANCE.NS
ICICIGI.NS
HDFCLIFE.NS
BAJAJFINSV.NS
ICICIPRULI.NS
HDFCAMC.NS
NAM-INDIA.NS
PGHH.NS
MARICO.NS
COLPAL.NS
HINDUNILVR.NS
BAJAJHLDNG.NS
DABUR.NS
NESTLEIND.NS
ITC.NS
ASIANPAINT.NS
BERGEPAINT.NS
AKZOINDIA.NS
TITAN.NS
BATAINDIA.NS
PAGEIND.NS
WHIRLPOOL.NS
HAVELLS.NS
TCS.NS
INFY.NS
HCLTECH.NS
TECHM.NS
GLAXO.NS
SANOFI.NS
PFIZER.NS
PIDILITIND.NS
GILLETTE.NS
NIFTYBEES.NS
BANKBEES.NS
GOLDBEES.NS
LIQUIDBEES.NS
SBILIFE.NS
ICICIBANK.NS
KOTAKBANK.NS
3MINDIA.NS
ASTRAZEN.NS
AVANTIFEED.NS
BAYERCROP.NS
BOSCHLTD.NS
CAPPL.NS
CEATLTD.NS
DIXON.NS
EICHERMOT.NS
EQUITASBNK.NS
ERIS.NS
FINCABLES.NS
FINEORG.NS
GODREJCP.NS
ISEC.NS
JCHAC.NS
KANSAINER.NS
LALPATHLAB.NS
MCDOWELL-N.NS
MCX.NS
MOTILALOFS.NS
SUNDRMFAST.NS
SIS.NS
SUNTV.NS
SYMPHONY.NS
RAJESHEXPO.NS
POLYCAB.NS
RADICO.NS
RELAXO.NS
TASTYBITE.NS
TEAMLEASE.NS
TTKPRESTIG.NS
UJJIVAN.NS
UJJIVANSFB.NS
VGUARD.NS
NATCOPHARM.NS
VIPIND.NS
