Date,Open,High,Low,Close,Volume
2024-10-29,747.25,762.3499755859375,740.0,741.25,80515
2024-10-30,744.0,752.0,741.6500244140625,748.5,35125
2024-10-31,752.2000122070312,792.0,750.0,771.9000244140625,124276
2024-11-01,784.0999755859375,784.25,777.0499877929688,781.5499877929688,11089
2024-11-04,785.5,785.5,765.9000244140625,771.2999877929688,51654
2024-11-05,764.9000244140625,774.9000244140625,760.5,767.2000122070312,27642
2024-11-06,771.0499877929688,780.0,767.9500122070312,775.9500122070312,26770
2024-11-07,776.0,781.7999877929688,770.0499877929688,778.75,34164
2024-11-08,782.0,782.0,764.0,770.2999877929688,19500
2024-11-11,753.2999877929688,754.8499755859375,735.0,738.6500244140625,100332
2024-11-12,739.4500122070312,742.25,695.0499877929688,699.2999877929688,233112
2024-11-13,698.4000244140625,703.1500244140625,680.0499877929688,683.7999877929688,126573
2024-11-14,683.2000122070312,693.8499755859375,675.0,678.0,64962
2024-11-18,679.9500122070312,681.0,657.5,662.5999755859375,81282
2024-11-19,666.3499755859375,672.1500244140625,654.9000244140625,659.3499755859375,84952
2024-11-21,659.0,659.0,628.5999755859375,635.5,109335
2024-11-22,642.2999877929688,645.0999755859375,630.0,634.5999755859375,106571
2024-11-25,638.0,644.5,625.0,627.8499755859375,134651
2024-11-26,629.5999755859375,649.0,625.0499877929688,643.7000122070312,65010
2024-11-27,650.8499755859375,655.0,642.0,652.5499877929688,51787
2024-11-28,652.5499877929688,665.2999877929688,647.0,661.25,53271
2024-11-29,662.0,673.9500122070312,655.0999755859375,670.0,60338
2024-12-02,674.5,690.0,665.0,680.2000122070312,1139078
2024-12-03,681.0999755859375,693.9500122070312,674.0999755859375,683.9500122070312,657056
2024-12-04,689.7999877929688,689.7999877929688,673.9000244140625,679.1500244140625,76562
2024-12-05,680.0,680.0,666.0999755859375,671.2999877929688,59433
2024-12-06,667.9000244140625,672.0,660.0499877929688,667.4000244140625,81280
2024-12-09,670.7999877929688,684.4000244140625,659.0,681.4000244140625,111891
2024-12-10,681.4000244140625,683.4000244140625,651.0,653.9500122070312,281466
2024-12-11,658.2000122070312,659.75,650.2999877929688,653.9000244140625,74682
2024-12-12,654.25,658.0,648.0999755859375,650.5499877929688,63556
2024-12-13,650.5499877929688,650.6500244140625,640.0,646.25,74244
2024-12-16,643.0,657.9500122070312,643.0,655.2000122070312,61195
2024-12-17,655.0,658.9000244140625,640.0,641.0,75012
2024-12-18,640.0,643.25,636.0,638.1500244140625,35951
2024-12-19,635.0,644.9500122070312,628.2999877929688,637.5999755859375,49657
2024-12-20,639.7999877929688,639.7999877929688,625.0,626.9000244140625,61516
2024-12-23,630.9500122070312,631.9500122070312,617.0,623.5499877929688,60922
2024-12-24,625.0,632.4000244140625,623.7000122070312,626.0,31763
2024-12-26,629.1500244140625,629.1500244140625,618.0,620.0,31670
2024-12-27,621.2999877929688,631.6500244140625,620.0,622.1500244140625,40068
2024-12-30,620.2000122070312,624.2999877929688,616.0,621.2000122070312,44055
2024-12-31,621.2000122070312,623.2000122070312,616.0,620.0,32852
2025-01-01,623.0499877929688,627.0,617.5499877929688,625.25,35256
2025-01-02,625.0,633.0,622.5,631.3499755859375,42113
2025-01-03,634.8499755859375,639.4000244140625,627.3499755859375,633.2999877929688,49074
2025-01-06,623.0,633.0,616.0,617.9000244140625,49555
2025-01-07,617.9500122070312,626.7999877929688,617.0,624.4500122070312,37500
2025-01-08,623.0999755859375,627.5,611.0999755859375,618.5999755859375,38967
2025-01-09,619.9500122070312,621.5499877929688,610.0999755859375,612.25,32784
2025-01-10,612.25,615.0,601.0,602.2999877929688,53124
2025-01-13,601.9500122070312,601.9500122070312,580.0,581.4500122070312,78867
2025-01-14,580.0999755859375,585.0,578.0499877929688,582.0499877929688,46706
2025-01-15,585.0,594.1500244140625,575.5999755859375,577.0999755859375,56128
2025-01-16,582.4000244140625,584.7000122070312,574.0,576.7999877929688,61329
2025-01-17,579.8499755859375,600.0,569.5,579.3499755859375,78267
